cust_index;cust_count;pattern_index;cdr_count;pattern_duration;profile_duration;pattern_marker;profile_marker;cust_imsi;cust_isdn;cust_imei;cust_operator;call_type;call_services;call_date;call_week_day;session_duration_secs;session_duration_hms;session_download;session_upload;corresp1_type;corresp1_isdn;corresp2_type;corresp2_isdn;network_mcc;network_mnc;network_msc;network_bts;network_lac;network_cellid;network_latitude;network_longitude
0;10;0;900;142560;216000;Voice calls in Community;15/15 120min;100000000000099;063000S098;44927500000000;FRAF2;MOC;Voice;2016/10/15 07:45:11;Saturday;629;00:10:29;;;GSM;063700S153;;;260;01;MSC3;BTSC4;2641;51170;5.354185;43.538727
0;10;1;900;142560;216000;Voice calls in Community;15/15 120min;100000000000099;063000S098;44927500000000;FRAF2;MOC;Voice;2016/10/01 13:30:03;Saturday;375;00:06:15;;;GSM;060800S115;;;260;01;MSC3;BTSC4;2641;51170;5.354185;43.538727
0;10;2;900;142560;216000;Voice calls in Community;15/15 120min;100000000000099;063000S098;44927500000000;FRAF2;MOC;Voice;2016/10/15 20:03:01;Saturday;659;00:10:59;;;GSM;063300S108;;;260;01;MSC3;BTSC4;2641;51170;5.354185;43.538727
0;10;3;900;142560;216000;Voice calls in Community;15/15 120min;100000000000099;063000S098;44927500000000;FRAF2;MOC;Voice;2016/10/10 07:06:38;Monday;650;00:10:50;;;GSM;063000S155;;;260;01;MSC3;BTSC4;2641;51170;5.354185;43.538727
0;10;4;900;142560;216000;Voice calls in Community;15/15 120min;100000000000099;063000S098;44927500000000;FRAF2;MOC;Voice;2016/10/30 01:50:38;Sunday;558;00:09:18;;;GSM;063100S188;;;260;01;MSC3;BTSC4;2641;51170;5.354185;43.538727
0;10;5;900;142560;216000;Voice calls in Community;15/15 120min;100000000000099;063000S098;44927500000000;FRAF2;MOC;Voice;2016/10/04 11:39:56;Tuesday;451;00:07:31;;;GSM;060700S181;;;260;01;MSC3;BTSC4;2641;51170;5.354185;43.538727
0;10;6;900;142560;216000;Voice calls in Community;15/15 120min;100000000000099;063000S098;44927500000000;FRAF2;MOC;Voice;2016/10/12 16:36:19;Wednesday;521;00:08:41;;;GSM;060700S181;;;260;01;MSC3;BTSC4;2641;51170;5.354185;43.538727
0;10;7;900;142560;216000;Voice calls in Community;15/15 120min;100000000000099;063000S098;44927500000000;FRAF2;MOC;Voice;2016/10/14 19:11:29;Friday;609;00:10:09;;;GSM;063000S143;;;260;01;MSC3;BTSC4;2641;51170;5.354185;43.538727
0;10;8;900;142560;216000;Voice calls in Community;15/15 120min;100000000000099;063000S098;44927500000000;FRAF2;MOC;Voice;2016/10/17 12:47:19;Monday;666;00:11:06;;;GSM;060800S189;;;260;01;MSC3;BTSC4;2641;51170;5.354185;43.538727
0;10;9;900;142560;216000;Voice calls in Community;15/15 120min;100000000000099;063000S098;44927500000000;FRAF2;MOC;Voice;2016/10/24 18:57:01;Monday;564;00:09:24;;;GSM;063300S125;;;260;01;MSC3;BTSC4;2641;51170;5.354185;43.538727
